employee_id,years_experience,training_hours,team_size,projects_completed,satisfaction_score,commute_minutes,performance_rating,salary_band,remote_pct
53,28.2,34.9,24,10,5.57,5,46.4,L2,75
54,26.8,34.4,13,7,2.46,8,61.7,L1,0
55,17.9,18.9,7,6,4.75,7,29.9,L2,25
56,27.7,28.3,3,11,8.5,24,55.7,L2,25
57,2.7,23.3,5,4,9.88,73,55.6,L1,0
58,5.9,66.3,24,4,3.86,5,35.1,L5,25
59,1.4,54.0,21,5,5.79,5,43.6,L4,50
60,9.8,59.1,9,8,5.6,23,39.4,L3,50
61,11.7,50.8,14,10,9.59,8,58.6,L1,75
62,8.1,23.1,17,12,5.31,53,53.1,L1,50
63,24.9,32.1,7,9,7.29,10,66.0,L3,50
64,10.7,47.3,17,3,9.3,9,52.0,L3,100
65,8.4,21.7,10,8,4.36,8,57.3,L2,100
66,16.3,50.7,12,7,9.12,5,61.7,L3,100
67,4.2,36.4,18,10,9.26,22,55.5,L4,100
68,24.1,34.4,10,7,9.38,5,46.2,L4,25
69,2.2,50.7,3,10,3.43,14,44.3,L4,75
70,29.6,46.7,14,9,4.6,15,49.2,L4,75
71,23.2,34.6,7,4,8.83,5,58.0,L4,50
72,6.0,57.4,5,6,4.23,5,42.3,L2,75
73,0.2,23.8,3,9,6.4,18,56.5,L1,50
74,24.5,49.2,6,11,2.06,30,53.2,L3,75
75,21.2,48.9,10,11,1.51,71,37.5,L1,0
76,21.9,35.4,5,3,4.71,5,56.0,L3,0
77,23.1,44.9,12,7,6.21,5,51.4,L2,75
78,2.2,21.2,4,10,4.53,5,44.5,L2,25
79,10.8,53.9,13,10,6.2,14,51.3,L5,50
80,3.5,37.2,12,11,5.64,24,44.9,L5,75
81,25.9,32.2,23,5,7.17,46,52.5,L2,50
82,18.7,55.7,16,5,6.85,29,48.3,L2,100
83,9.9,29.4,9,10,4.82,6,34.7,L3,75
84,1.9,18.9,4,10,4.82,15,48.6,L2,25
85,9.3,16.7,11,9,2.27,60,45.6,L1,100
86,9.8,49.1,18,5,5.62,10,56.4,L3,75
87,21.9,20.8,15,12,6.28,17,58.8,L2,0
88,19.1,66.3,11,6,5.29,80,44.9,L3,75
89,26.6,8.8,22,10,3.93,33,42.1,L3,0
90,14.2,65.4,6,6,7.49,34,33.2,L4,0
91,3.6,43.2,24,16,1.67,7,41.9,L5,75
92,21.4,38.5,12,11,9.23,13,46.8,L3,75
93,22.8,31.8,24,6,1.19,5,36.6,L3,0
94,16.8,46.0,14,4,9.66,23,58.9,L4,50
95,23.1,39.4,19,11,5.16,5,52.6,L2,100
96,14.8,56.5,16,7,4.71,45,48.8,L3,25
97,15.7,41.7,16,8,3.31,42,49.8,L4,75
98,12.8,42.3,4,8,1.09,19,53.1,L1,100
99,0.8,34.5,23,7,3.47,5,56.3,L4,100
100,3.2,39.1,22,11,1.98,5,58.1,L5,50
101,0.9,44.6,13,13,6.94,40,46.9,L5,100
102,19.1,14.3,18,9,3.87,23,48.6,L2,75
103,9.4,19.8,21,11,7.9,31,51.7,L2,100
104,15.3,51.1,8,11,2.86,9,48.2,L5,75
105,27.2,42.6,21,11,9.1,18,58.7,L5,75
106,7.5,37.2,7,7,5.71,34,62.3,L3,0
107,12.3,40.3,6,2,2.03,16,53.4,L5,50
108,22.7,45.2,17,5,4.61,23,40.9,L2,25
109,6.9,31.9,6,8,2.86,39,55.1,L5,0
110,2.3,28.3,22,13,2.8,6,53.8,L2,25
111,8.7,42.9,12,10,5.56,5,40.1,L1,75
112,4.8,25.3,24,7,7.05,19,53.8,L5,0
113,27.9,46.1,5,4,9.2,5,44.6,L2,100
114,24.2,14.5,7,12,5.52,36,57.5,L4,100
115,19.0,55.4,8,9,9.69,32,55.0,L3,25
116,26.1,47.1,23,10,9.47,53,52.2,L2,75
117,24.1,43.8,24,11,8.79,26,50.4,L5,25
118,5.6,54.7,10,4,5.5,5,28.7,L5,50
119,26.8,65.0,9,5,2.27,7,37.9,L1,100
120,16.2,55.2,23,4,2.96,41,48.7,L4,0
121,24.2,12.4,12,8,6.83,5,65.2,L2,0
122,26.9,20.8,8,9,4.8,30,55.6,L4,0
123,9.5,30.6,16,2,2.32,38,68.1,L1,100
124,3.3,40.4,6,11,5.31,10,50.8,L3,75
125,6.8,47.8,15,6,1.16,10,49.7,L4,100
126,12.8,29.1,22,9,7.61,20,64.3,L1,100
127,24.5,42.8,19,14,1.66,49,48.4,L2,0
128,25.8,28.7,9,11,6.66,6,40.1,L3,100
129,0.2,30.8,6,8,8.14,71,53.2,L5,0
130,15.3,18.9,16,8,2.19,23,61.2,L1,75
131,12.5,26.2,5,11,5.67,120,41.7,L5,50
132,6.7,19.7,7,12,8.01,5,55.9,L3,0
133,3.6,25.4,18,13,3.35,5,49.1,L1,25
134,10.1,55.8,22,9,2.47,44,54.5,L1,50
135,28.3,25.8,6,11,4.03,50,53.1,L3,75
136,9.7,79.5,4,5,5.99,15,45.9,L2,50
137,15.6,47.4,20,10,6.18,31,48.9,L1,0
138,21.1,42.8,21,8,2.18,51,46.5,L3,75
139,10.9,27.1,21,9,5.12,5,51.2,L4,25
140,29.2,50.5,19,6,3.41,21,41.5,L5,0
141,28.9,31.4,16,6,8.58,48,43.9,L1,0
142,7.6,41.8,21,11,3.82,13,45.9,L4,75
143,14.9,78.4,24,11,8.55,9,53.9,L1,75
144,9.0,38.6,15,7,4.86,40,35.8,L2,50
145,8.5,57.2,14,9,7.54,10,48.9,L3,25
146,1.1,29.5,8,4,5.59,5,42.9,L1,50
147,18.3,39.5,23,13,6.6,80,45.9,L3,50
148,15.1,66.6,6,5,4.56,22,43.4,L1,0
149,1.5,30.6,21,5,7.91,43,51.9,L2,75
150,8.4,67.2,18,7,4.83,44,48.4,L2,0
151,27.2,50.6,15,8,5.12,5,57.1,L4,25
152,7.2,31.6,6,6,5.66,5,54.0,L2,50
153,4.3,49.5,19,11,8.49,9,34.6,L3,25
154,14.7,54.6,3,8,6.93,10,40.4,L2,75
155,29.6,49.3,20,10,4.14,27,48.3,L1,75
156,7.3,16.4,22,5,7.03,24,49.6,L2,100
157,20.2,29.1,19,7,6.78,17,41.3,L3,25
158,22.8,36.3,17,6,9.38,6,63.0,L1,0
159,7.1,38.9,13,7,8.57,12,58.6,L4,25
160,21.8,49.3,24,8,6.83,20,33.6,L4,50
161,11.0,42.7,15,11,4.07,16,53.5,L4,75
162,19.0,20.0,3,9,8.02,5,49.5,L1,75
163,19.0,45.7,19,8,6.18,26,62.4,L4,25
164,16.1,49.2,8,7,9.87,5,34.3,L2,25
165,2.7,48.4,6,6,3.23,12,70.6,L1,25
166,25.1,56.2,22,5,1.72,31,41.6,L1,50
167,9.6,52.5,18,9,1.63,5,53.8,L1,50
168,5.6,46.9,17,6,6.76,21,43.9,L5,0
169,1.2,38.9,17,5,9.45,10,46.2,L3,25
170,17.7,15.1,8,3,1.02,5,33.1,L5,0
171,20.3,46.4,17,11,7.53,5,62.0,L5,100
172,0.5,43.1,16,8,6.91,71,47.3,L5,50
173,15.4,44.1,13,9,7.59,18,48.0,L3,75
174,6.8,20.8,9,7,4.2,120,73.1,L5,100
175,19.4,23.8,11,5,8.38,19,59.6,L4,75
176,5.2,55.8,18,9,1.4,20,43.3,L1,100
177,20.7,39.4,7,7,7.8,12,43.9,L1,0
178,11.6,50.2,22,5,3.4,9,52.6,L2,0
179,28.1,40.4,12,9,5.29,7,57.7,L4,50
180,4.1,40.4,20,7,8.4,11,67.5,L3,75
181,10.2,54.1,5,2,3.44,15,33.9,L1,100
182,3.4,32.3,15,6,2.67,5,57.3,L5,25
183,27.7,41.4,13,6,7.13,6,58.9,L2,25
184,26.3,33.1,19,7,5.8,8,42.1,L2,50
185,7.7,33.5,24,10,5.63,15,46.4,L1,75
186,19.8,35.4,15,13,3.31,26,33.7,L4,25
187,24.5,43.3,8,8,1.31,48,45.0,L2,50
188,16.7,32.8,19,6,4.69,8,52.3,L1,50
189,15.9,58.8,15,10,1.96,5,65.9,L4,75
190,7.3,26.6,21,10,9.15,12,66.9,L1,25
191,2.8,37.2,23,6,1.37,56,39.7,L1,25
192,26.9,33.4,21,7,4.88,5,64.6,L4,25
193,27.0,61.7,12,10,1.47,28,30.5,L4,0
194,19.0,42.9,5,11,1.86,16,44.2,L4,25
195,10.2,55.5,16,10,6.93,5,47.0,L1,100
196,10.5,17.7,21,5,6.82,10,52.5,L2,0
197,21.8,44.0,7,8,1.3,6,51.1,L3,0
198,26.9,53.3,7,18,1.01,53,53.7,L3,0
199,26.6,41.2,22,7,1.71,16,48.2,L1,0
200,23.4,56.0,19,5,7.87,21,59.6,L1,50
201,19.3,32.2,23,2,6.26,23,56.9,L2,100
202,2.5,61.1,12,8,1.34,26,47.1,L4,75
203,4.8,74.5,7,6,5.39,17,58.4,L1,25
204,27.0,34.6,6,5,7.41,5,70.7,L5,0
205,18.2,33.3,8,4,8.82,10,43.3,L4,75
206,0.3,61.8,6,10,9.41,5,66.8,L1,50
207,3.0,63.7,9,9,3.95,28,44.2,L5,75
208,19.9,32.2,9,10,2.22,5,64.1,L2,0
209,0.2,33.7,20,6,3.13,21,44.5,L5,100
210,4.8,35.8,5,5,7.99,6,57.7,L1,75
211,16.5,19.8,3,8,9.74,74,51.8,L3,0
212,20.8,26.2,6,7,5.2,10,32.1,L1,0
213,19.6,24.9,8,4,3.75,10,69.2,L3,25
214,6.7,28.5,11,8,4.86,64,41.0,L2,25
215,21.4,39.5,24,4,3.74,14,37.3,L2,100
216,7.1,43.5,16,8,3.31,82,43.6,L4,25
217,9.8,63.3,14,6,6.34,5,75.3,L4,100
218,22.4,25.0,22,15,1.14,9,37.5,L3,50
219,19.5,54.8,6,5,3.34,27,51.8,L3,50
220,25.5,36.8,23,6,6.95,55,38.8,L2,25
221,19.7,39.3,14,5,1.29,7,40.5,L5,50
222,17.0,50.1,12,5,1.75,67,34.0,L3,75
223,2.8,23.2,24,9,3.64,23,53.2,L3,75
224,11.0,45.7,9,9,8.9,40,48.4,L5,75
225,8.0,42.5,5,8,7.88,13,38.7,L4,50
226,7.3,47.4,16,9,1.2,6,58.7,L4,75
227,29.2,44.3,12,9,5.52,61,59.8,L3,100
228,11.8,76.8,18,7,3.47,68,54.1,L4,0
229,26.8,30.4,18,7,6.84,17,61.7,L4,25
230,18.9,32.0,24,6,7.49,5,46.5,L4,100
231,23.8,30.7,12,7,8.77,5,53.2,L2,75
232,15.1,31.7,15,4,5.28,21,46.5,L1,0
233,17.3,30.4,8,7,9.95,5,34.9,L3,25
234,14.8,57.8,14,8,9.82,13,52.2,L3,100
235,5.9,61.3,11,8,8.94,9,51.6,L2,25
236,21.7,31.4,15,7,6.17,31,49.7,L1,50
237,8.4,27.5,6,11,4.58,5,53.7,L1,75
238,0.7,47.1,13,5,4.28,17,64.1,L2,100
239,19.4,31.7,22,1,1.11,22,48.0,L5,100
240,5.3,49.5,20,6,3.24,24,40.4,L5,0
241,28.2,43.0,13,9,7.47,13,47.5,L1,0
242,28.6,17.3,23,5,6.43,9,48.6,L5,0
243,27.4,63.2,6,8,9.25,29,59.8,L5,25
244,11.1,66.9,20,10,1.45,47,51.1,L5,75
245,0.5,30.8,3,12,2.4,30,38.5,L1,25
246,27.8,34.2,9,5,8.1,67,58.1,L5,75
247,12.8,44.3,8,4,4.23,32,56.5,L3,100
248,29.0,45.0,17,11,2.07,36,51.1,L1,25
249,28.9,49.9,20,8,9.97,5,59.5,L2,25
250,25.6,70.2,13,15,8.09,14,61.2,L5,25
251,8.8,37.3,22,5,4.68,17,46.2,L4,50
252,11.6,28.0,17,12,8.41,7,41.0,L1,75
253,25.5,19.3,18,5,7.13,19,49.9,L2,75
254,9.5,29.0,9,5,8.11,9,55.4,L3,25
255,5.1,39.5,23,10,8.34,29,48.9,L2,50
256,16.7,66.9,12,6,1.76,16,40.1,L5,25
257,28.1,32.2,14,11,6.61,15,51.6,L4,75
258,20.9,43.4,16,8,1.06,103,29.7,L5,100
259,17.1,39.8,7,7,1.39,12,46.8,L2,50
260,2.9,57.8,23,9,9.14,11,58.5,L1,50
261,18.5,77.9,20,13,5.75,10,59.1,L4,25
262,29.7,32.0,7,5,7.62,56,12.4,L4,100
263,4.2,32.7,5,5,8.55,17,48.1,L2,75
264,15.5,55.7,7,15,9.55,23,56.0,L5,0
265,26.3,50.2,19,4,8.82,5,38.2,L2,75
266,22.2,67.7,21,7,5.35,19,46.3,L4,75
267,20.9,48.8,21,11,4.02,8,62.1,L2,100
268,21.1,34.6,23,10,2.39,33,45.2,L4,50
269,10.8,48.9,14,10,4.6,45,66.0,L5,75
270,8.8,56.6,11,18,4.3,31,42.6,L1,50
271,24.3,52.3,3,14,6.04,33,64.1,L1,100
272,24.3,47.6,20,6,6.99,18,50.3,L2,100
273,26.0,56.0,23,7,9.8,31,41.2,L4,25
274,27.4,57.5,6,7,7.56,14,64.1,L1,0
275,15.3,60.7,12,9,6.79,26,37.9,L4,100
276,15.0,49.7,9,4,4.02,7,42.0,L5,100
277,23.9,37.5,24,6,1.31,5,54.9,L2,50
278,19.5,42.2,3,10,3.59,13,50.8,L4,100
279,21.1,58.1,19,10,7.92,15,52.7,L2,75
280,23.9,27.7,4,4,2.85,7,46.3,L4,25
281,26.7,45.5,13,9,7.41,33,38.0,L4,25
282,10.1,34.1,11,10,6.22,5,43.5,L5,75
283,11.3,40.4,9,4,2.55,6,63.2,L2,100
284,2.8,59.2,24,11,3.35,35,36.6,L3,0
285,17.3,42.9,19,8,5.47,14,66.4,L4,100
286,1.1,40.7,19,7,4.77,31,53.2,L4,25
287,14.0,19.6,4,12,8.01,21,44.0,L1,0
288,16.3,51.2,8,6,7.61,75,30.0,L2,50
289,8.6,49.7,16,9,6.17,23,31.3,L3,50
290,17.7,72.4,8,5,8.4,5,46.4,L5,100
291,0.9,35.4,4,8,6.06,11,45.2,L3,100
292,1.1,43.3,3,8,9.68,5,51.2,L5,0
293,24.7,43.7,12,6,2.96,65,67.2,L3,0
294,10.8,63.7,23,6,7.43,5,55.4,L3,100
295,3.8,38.6,7,11,4.33,12,48.7,L2,25
296,15.7,44.2,4,9,3.51,6,62.2,L1,50
297,23.1,49.1,24,13,2.62,47,51.5,L3,0
298,6.5,42.8,18,7,5.97,9,66.0,L4,25
299,18.7,33.3,4,5,2.94,120,43.3,L4,100
300,2.6,42.9,12,10,2.8,5,38.5,L4,75
301,1.6,56.1,4,7,9.91,5,30.0,L1,0
302,15.9,24.6,18,9,8.22,6,48.9,L3,75
303,16.2,42.0,18,10,7.73,42,37.7,L5,25
304,19.1,29.5,21,7,8.15,53,37.5,L5,50
305,21.8,57.9,9,6,9.72,5,60.3,L2,25
306,29.3,17.2,24,8,6.16,5,32.8,L1,50
307,15.5,31.6,14,7,2.98,34,51.0,L3,25
308,9.7,45.7,17,6,8.76,5,49.2,L4,0
309,23.9,63.5,10,10,7.68,5,50.9,L1,0
310,8.1,39.0,8,9,4.73,5,63.8,L1,75
311,13.2,31.7,12,4,5.26,5,41.7,L3,25
312,2.4,68.2,5,9,4.7,8,63.8,L2,25
313,0.8,18.3,21,14,9.37,5,32.4,L2,75
314,28.9,7.0,19,5,4.09,12,56.5,L2,100
315,25.1,46.6,9,11,9.67,45,64.8,L4,25
316,20.9,32.5,23,2,9.19,10,9.5,L4,25
317,12.3,24.7,22,4,6.67,33,49.6,L3,25
318,5.2,50.6,6,9,6.22,5,48.8,L2,100
319,4.7,43.7,16,2,4.33,27,50.7,L3,0
320,7.5,31.5,22,10,1.17,10,67.1,L2,75
321,16.5,20.8,24,8,2.15,35,42.4,L1,100
322,21.4,53.1,17,13,7.79,5,38.2,L5,50
323,19.8,49.8,10,6,5.24,57,50.8,L5,50
324,8.4,38.5,23,11,2.35,7,61.2,L2,100
325,28.6,67.7,17,7,3.38,11,55.6,L3,100
326,22.1,23.9,24,4,9.53,75,50.3,L4,0
327,16.6,17.1,22,4,4.3,22,47.7,L2,50
328,18.4,29.6,16,4,9.17,11,29.9,L2,75
329,12.6,39.3,11,6,3.74,75,55.9,L4,25
330,7.4,43.7,10,5,5.89,10,57.1,L2,25
331,10.7,36.4,19,11,1.18,5,43.1,L1,0
332,22.7,45.3,4,11,5.7,120,45.4,L4,0
333,0.4,21.2,5,4,6.73,8,39.5,L1,50
334,3.5,61.7,10,6,3.11,48,58.7,L5,75
335,1.4,38.8,14,7,6.21,5,46.3,L4,75
336,1.2,56.8,3,6,6.82,33,48.5,L4,100
337,25.7,45.1,12,8,7.18,19,56.3,L3,0
338,21.1,46.9,22,7,7.99,99,53.3,L3,25
339,14.2,48.5,5,4,3.8,20,55.6,L4,25
340,2.9,46.7,8,8,6.11,5,51.7,L5,50
341,14.7,49.6,9,4,9.83,23,52.0,L2,25
342,14.2,59.9,22,13,9.08,5,51.9,L3,75
343,5.2,42.9,20,7,9.57,40,54.5,L5,75
344,13.0,50.6,13,7,4.48,49,55.0,L5,0
345,12.0,38.7,21,6,8.08,16,37.8,L3,50
346,18.5,61.6,7,9,6.58,38,44.0,L2,25
347,19.1,29.9,21,7,1.74,5,48.0,L3,0
348,1.4,67.0,13,7,8.42,17,54.5,L5,100
349,11.2,39.4,14,10,7.09,13,66.0,L1,100
350,18.8,18.5,12,10,2.79,24,41.9,L3,25
351,15.1,41.9,10,10,1.72,5,58.8,L5,25
352,25.7,29.8,11,3,8.53,35,44.3,L3,25
353,19.8,52.6,6,9,1.71,5,63.7,L5,75
354,4.9,30.2,7,10,1.82,27,69.1,L2,25
355,2.1,33.3,23,10,4.85,5,32.5,L5,100
356,19.3,11.7,10,8,2.21,45,46.7,L4,25
357,0.8,33.2,11,9,9.22,5,26.5,L1,50
358,17.6,3.6,17,14,5.23,18,33.1,L5,100
359,28.2,16.2,17,9,6.12,8,33.7,L3,50
360,17.3,51.4,18,11,9.35,32,56.2,L3,100
361,11.6,51.8,16,9,5.77,10,54.4,L5,0
362,19.3,46.4,10,4,4.18,32,58.0,L4,100
363,13.7,25.5,20,8,8.17,8,56.1,L5,100
364,16.4,39.3,12,13,4.99,35,54.9,L2,50
365,28.2,39.9,22,3,3.87,5,51.1,L4,50
366,11.6,22.6,8,9,7.51,8,48.7,L5,100
367,28.8,62.6,14,8,8.21,17,60.2,L1,100
368,27.2,53.2,4,7,8.13,5,50.1,L4,75
369,5.9,36.7,9,5,9.8,5,55.3,L5,0
370,2.1,40.4,18,2,8.08,68,26.7,L1,0
371,3.0,43.1,5,6,7.93,94,38.2,L5,25
372,0.5,9.4,15,4,8.72,34,59.8,L2,100
373,2.8,36.3,5,8,1.0,7,43.3,L3,100
374,20.5,29.8,20,10,4.26,8,36.0,L5,100
375,2.1,25.0,13,7,7.64,26,56.4,L4,100
376,9.6,35.8,10,9,6.4,5,50.0,L5,0
377,25.3,67.0,8,6,2.6,74,45.9,L5,50
378,0.7,49.6,3,8,3.73,6,65.1,L5,75
379,24.4,31.4,3,7,4.03,120,63.4,L5,50
380,8.5,48.6,10,2,6.11,17,48.1,L4,50
381,3.5,61.0,7,9,8.48,37,57.2,L4,0
382,20.9,53.9,18,5,9.39,5,27.6,L5,75
383,18.9,40.9,13,11,7.75,55,60.9,L3,100
384,26.3,30.3,7,10,8.59,8,39.1,L5,0
385,22.1,50.5,6,7,5.23,28,35.5,L4,0
386,24.1,45.9,8,9,4.51,41,32.1,L2,75
387,8.5,53.4,16,5,4.53,5,31.4,L5,25
388,5.3,49.5,24,6,6.54,15,60.8,L5,0
389,22.5,55.7,21,4,2.12,17,56.3,L5,50
390,24.2,32.0,11,8,6.22,9,42.3,L5,50
391,29.7,59.8,14,9,6.99,16,58.5,L1,100
392,12.4,43.0,13,8,4.95,10,44.1,L5,0
393,11.2,71.1,16,9,9.58,11,53.2,L4,100
394,23.3,29.7,18,4,6.47,28,45.2,L4,0
395,10.2,66.0,3,9,2.98,25,48.8,L1,75
396,27.9,43.0,15,10,5.31,7,40.9,L5,0
397,25.8,30.2,23,7,7.08,57,42.4,L3,25
398,12.9,32.7,23,5,3.91,50,55.4,L5,50
399,22.5,35.2,15,8,1.72,18,57.0,L4,75
400,22.6,46.4,4,9,6.25,14,45.9,L2,50
401,3.1,47.8,6,9,9.53,12,34.7,L2,100
402,27.1,31.4,8,7,5.37,31,74.7,L3,75
403,15.2,39.6,7,5,9.15,28,50.4,L5,25
404,24.8,72.1,5,10,8.52,5,53.1,L1,50
405,9.6,65.9,3,6,2.33,28,37.4,L5,0
406,26.9,46.5,6,10,7.37,7,62.2,L3,0
407,11.7,40.6,22,4,4.92,5,63.7,L3,0
408,0.3,41.8,4,7,3.25,30,32.9,L3,75
409,27.2,49.2,7,12,7.18,26,49.0,L2,25
410,2.7,24.7,5,8,7.68,13,48.2,L5,25
411,9.6,36.1,11,7,2.62,19,73.9,L5,25
412,28.5,15.0,22,6,9.23,74,64.4,L1,50
413,28.5,46.0,8,12,7.76,23,35.5,L3,75
414,17.2,49.7,20,5,9.4,27,42.7,L3,0
415,19.0,32.8,8,6,3.85,5,41.1,L4,50
416,13.5,63.6,21,5,9.45,5,53.7,L4,25
417,8.8,21.6,14,10,4.32,9,65.7,L2,0
418,9.9,18.0,13,10,1.49,19,51.1,L5,75
419,20.2,43.4,4,5,7.87,37,55.0,L1,100
420,22.6,55.7,17,11,7.33,10,43.4,L1,25
421,23.7,65.3,14,8,6.38,11,55.0,L3,25
422,23.7,33.1,14,4,5.41,7,45.3,L1,25
423,2.7,56.2,11,8,1.29,7,33.6,L3,25
424,14.8,39.4,23,3,6.62,74,54.3,L5,0
425,1.7,37.4,4,4,4.75,25,49.9,L1,75
426,16.5,53.3,24,6,6.04,5,39.0,L3,50
427,13.2,49.8,5,13,4.86,32,66.5,L5,0
428,26.6,16.4,14,6,9.69,32,42.3,L5,75
429,10.5,62.1,18,5,6.44,27,56.1,L3,50
430,3.5,60.7,23,4,7.74,5,46.4,L3,25
431,4.3,30.6,3,8,9.43,13,65.4,L2,75
432,22.8,45.9,23,5,6.32,5,47.6,L5,25
433,18.5,47.4,5,6,1.11,42,33.3,L3,75
434,3.0,43.9,22,10,1.31,27,58.1,L5,100
435,2.5,31.7,4,16,7.32,18,65.4,L1,25
436,21.0,29.9,11,5,3.51,11,45.7,L4,25
437,2.2,39.6,21,10,6.21,5,56.8,L4,25
438,24.7,57.6,17,6,2.82,5,51.3,L3,0
439,21.2,48.2,20,10,3.43,87,46.2,L3,50
440,2.4,34.4,13,6,5.54,6,58.4,L5,25
441,2.5,51.6,18,9,9.78,5,42.0,L3,25
442,29.6,0.0,24,11,6.55,82,50.3,L5,0
443,11.2,57.2,19,4,9.43,20,52.6,L3,0
444,11.1,13.9,7,12,9.63,40,52.2,L5,100
445,24.4,34.6,14,10,2.87,5,42.2,L3,75
446,28.4,23.2,13,6,3.8,21,70.6,L2,25
447,29.6,20.6,17,12,7.93,13,62.6,L5,75
448,22.6,57.4,5,10,8.8,37,59.9,L2,0
449,11.3,33.0,3,6,5.67,5,64.3,L2,0
450,2.5,45.2,22,10,9.94,13,50.7,L2,100
451,23.3,39.3,18,8,1.1,40,46.3,L2,50
452,16.8,47.2,4,10,3.7,18,39.1,L1,0
453,12.7,41.2,4,6,6.61,20,43.0,L4,25
454,27.2,20.8,5,5,5.22,5,39.9,L1,100
455,3.3,54.9,10,15,2.05,5,44.7,L3,50
456,14.8,32.6,17,11,4.31,28,52.8,L3,100
457,0.3,16.7,9,6,1.23,28,59.1,L4,0
458,14.1,33.6,8,10,6.78,97,58.9,L4,50
459,1.7,62.5,11,8,9.03,31,38.3,L4,75
460,3.6,52.8,22,13,8.96,17,56.9,L2,50
461,3.5,34.8,3,5,7.3,49,61.4,L1,25
462,19.5,34.8,10,10,5.19,5,47.5,L3,75
463,22.4,35.2,5,10,5.61,15,62.0,L1,75
464,17.5,71.2,6,2,2.23,8,58.8,L1,25
465,28.9,45.7,17,9,4.07,5,37.4,L1,75
466,11.2,46.5,8,8,2.69,36,71.9,L4,0
467,8.6,55.5,17,12,8.39,18,42.8,L4,50
468,26.1,43.6,23,7,9.23,20,59.6,L3,50
469,6.7,36.1,5,11,5.83,13,59.2,L3,25
470,28.9,37.1,23,7,7.55,15,37.8,L3,0
471,0.4,38.9,23,8,2.09,5,51.8,L1,75
472,29.1,39.4,16,10,6.48,28,59.1,L4,50
473,1.3,50.9,22,7,7.33,14,37.7,L2,50
474,26.7,40.8,16,9,5.07,42,51.0,L1,50
475,15.8,51.0,6,8,3.19,5,59.9,L5,50
476,29.8,38.8,14,7,8.9,6,60.6,L1,100
477,2.2,41.2,19,9,7.69,26,46.0,L4,25
478,16.6,10.0,9,10,9.1,47,65.4,L5,75
